,unique_key,created_date,closed_date,agency_acronym,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,city,status,due_date,resolution_date,community_board,borough,latitude,longitude,dirty_long,dirty_lat
1530010,28150396,2014-05-30 08:23:00,2014-05-31 12:00:00,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11203.0,5502 CHURCH AVENUE,CHURCH AVENUE,BROOKLYN,Closed,,2014-05-31 12:00:00,17 BROOKLYN,BROOKLYN,40.6524464492,-73.9254717237,-73.93,40.65
1530011,28150401,2014-05-30 19:41:00,2014-05-31 12:00:00,DSNY,Manhattan 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10003.0,109 EAST 9 STREET,EAST 9 STREET,NEW YORK,Closed,,2014-05-31 12:00:00,03 MANHATTAN,MANHATTAN,40.7303557293,-73.9899911448,-73.99,40.73
1530012,28150414,2014-05-30 11:51:00,2014-05-31 12:00:00,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11207.0,617 MILLER AVENUE,MILLER AVENUE,BROOKLYN,Closed,,2014-05-31 12:00:00,05 BROOKLYN,BROOKLYN,40.665224486999996,-73.8893107802,-73.89,40.67
1530013,28150415,2014-05-30 07:03:00,2014-06-04 12:00:00,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11229.0,,,BROOKLYN,Closed,,2014-06-04 12:00:00,15 BROOKLYN,BROOKLYN,40.6031699837,-73.96006605310001,-73.96,40.6
1530014,28150416,2014-05-30 10:42:00,2014-05-31 12:00:00,DSNY,Queens East 10,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11419.0,129-01 LIBERTY AVENUE,LIBERTY AVENUE,South Richmond Hill,Closed,,2014-05-31 12:00:00,10 QUEENS,QUEENS,40.6892605993,-73.8164069361,-73.82,40.69
1530015,28150417,2014-05-30 17:10:00,2014-05-31 12:00:00,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11212.0,444 BLAKE AVENUE,BLAKE AVENUE,BROOKLYN,Closed,,2014-05-31 12:00:00,16 BROOKLYN,BROOKLYN,40.6666529305,-73.9027393413,-73.9,40.67
1530016,28150435,2014-05-30 00:00:00,2014-06-05 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,10470.0,720 PENFIELD STREET,PENFIELD STREET,BRONX,Closed,06/29/2014 12:59:14 PM,2014-06-05 00:00:00,12 BRONX,BRONX,40.9048819618,-73.8490676853,-73.85,40.9
1530017,28150464,2014-05-30 22:14:06,,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,10040.0,68 THAYER STREET,THAYER STREET,NEW YORK,Assigned,06/29/2014 10:14:06 PM,2014-09-23 10:32:35,12 MANHATTAN,MANHATTAN,40.8638093656,-73.9273028282,-73.93,40.86
1530018,28150465,2014-05-30 00:00:00,2014-06-04 14:26:55,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10452.0,950 WOODYCREST AVENUE,WOODYCREST AVENUE,BRONX,Closed,06/29/2014 03:23:43 PM,2014-06-04 14:26:55,Unspecified BRONX,BRONX,40.8313979381,-73.9285957657,-73.93,40.83
1530019,28150489,2014-05-30 00:00:00,2014-06-04 14:26:55,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10452.0,950 WOODYCREST AVENUE,WOODYCREST AVENUE,BRONX,Closed,06/29/2014 03:20:12 PM,2014-06-04 14:26:55,Unspecified BRONX,BRONX,40.8313979381,-73.9285957657,-73.93,40.83
1530020,28150506,2014-05-30 12:03:58,2014-06-05 14:33:29,DOHMH,Department of Health and Mental Hygiene,Mold,Public Complaint - Comm Location,Commercial Building,10123.0,450 SEVENTH AVENUE,SEVENTH AVENUE,NEW YORK,Closed,07/14/2014 12:03:58 PM,2014-06-05 14:33:29,05 MANHATTAN,MANHATTAN,40.7513585979,-73.99036695859999,-73.99,40.75
1530021,28150519,2014-05-30 00:00:00,2014-06-05 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11385.0,70-28 73 PLACE,73 PLACE,Ridgewood,Closed,06/29/2014 08:15:32 PM,2014-06-05 00:00:00,05 QUEENS,QUEENS,40.7062463849,-73.8770300632,-73.88,40.71
1530022,28150520,2014-05-30 00:00:00,2014-06-12 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11378.0,64-06 HULL AVENUE,HULL AVENUE,Maspeth,Closed,06/29/2014 09:10:43 PM,2014-06-12 00:00:00,05 QUEENS,QUEENS,40.725159521500004,-73.9016654131,-73.9,40.73
1530023,28150521,2014-05-30 00:00:00,2014-06-12 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11429.0,,,Queens Village,Closed,06/29/2014 06:27:44 AM,2014-06-12 14:22:41,13 QUEENS,QUEENS,40.7028102126,-73.7438622228,-73.74,40.7
1530024,28150555,2014-05-30 00:00:00,2014-06-10 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10453.0,1621 UNDERCLIFF AVE,UNDERCLIFF AVE,BRONX,Closed,06/29/2014 11:05:53 PM,2014-06-10 00:00:00,Unspecified BRONX,BRONX,40.8489930828,-73.92250085069999,-73.92,40.85
1530025,28150557,2014-05-30 00:00:00,2014-06-12 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10029.0,,,NEW YORK,Closed,06/29/2014 06:45:00 AM,2014-06-12 00:00:00,11 MANHATTAN,MANHATTAN,40.788318295799996,-73.9410176773,-73.94,40.79
1530026,28150564,2014-05-30 10:37:53,2014-06-30 14:26:06,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,10474.0,860 BRYANT AVENUE,BRYANT AVENUE,BRONX,Closed,06/29/2014 10:37:53 AM,2014-06-30 14:26:06,02 BRONX,BRONX,40.818510738899995,-73.88656293689999,-73.89,40.82
1530027,28150614,2014-05-30 00:00:00,2014-06-11 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11355.0,45-15 COLDEN STREET,COLDEN STREET,Flushing,Closed,06/29/2014 03:12:28 PM,2014-06-11 00:00:00,07 QUEENS,QUEENS,40.7505011411,-73.823001789,-73.82,40.75
1530028,28150680,2014-05-30 17:09:00,2014-05-31 12:00:00,DSNY,BCC - Brooklyn North,Sanitation Condition,12 Dead Animals,Sidewalk,11203.0,4802 SNYDER AVENUE,SNYDER AVENUE,BROOKLYN,Closed,,2014-05-31 12:00:00,17 BROOKLYN,BROOKLYN,40.6499911624,-73.9319900463,-73.93,40.65
1530029,28150688,2014-05-30 12:09:00,2014-06-02 12:00:00,DSNY,BCC - Queens East,Sanitation Condition,12 Dead Animals,Sidewalk,11354.0,150-53 BAYSIDE AVENUE,BAYSIDE AVENUE,Flushing,Closed,,2014-06-02 12:00:00,07 QUEENS,QUEENS,40.771566456799995,-73.81389108020001,-73.81,40.77
1530030,28150689,2014-05-30 06:01:00,2014-05-31 12:00:00,DSNY,BCC - Queens East,Sanitation Condition,12 Dead Animals,Sidewalk,11366.0,73 AVENUE,73 AVENUE,Fresh Meadows,Closed,,2014-05-31 12:00:00,08 QUEENS,QUEENS,40.729551639200004,-73.7955712332,-73.8,40.73
1530031,28150701,2014-05-30 12:42:00,2014-05-30 12:42:00,DSNY,BCC - Queens East,Sanitation Condition,12 Dead Animals,Sidewalk,11691.0,,,Far Rockaway,Closed,,2014-05-30 12:42:00,14 QUEENS,QUEENS,40.606651134,-73.7626920463,-73.76,40.61
1530032,28150711,2014-05-30 07:07:00,2014-05-30 12:00:00,DSNY,Manhattan 02,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10012.0,258 MERCER STREET,MERCER STREET,NEW YORK,Closed,,2014-05-30 12:00:00,02 MANHATTAN,MANHATTAN,40.7287146974,-73.99512919189999,-74.0,40.73
1530033,28150789,2014-05-30 12:41:00,2014-05-31 12:00:00,DSNY,A - Queens,Dirty Conditions,E1 Improper Disposal,Sidewalk,11101.0,38-11 27 STREET,27 STREET,Long Island City,Closed,,2014-05-31 12:00:00,01 QUEENS,QUEENS,40.7551559984,-73.9352466727,-73.94,40.76
1530034,28150722,2014-05-30 10:28:00,2014-05-30 12:00:00,DSNY,BCC - Bronx,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10458.0,2836 MARION AVENUE,MARION AVENUE,BRONX,Closed,,2014-05-30 12:00:00,07 BRONX,BRONX,40.8677394257,-73.8861318668,-73.89,40.87
1530035,28151050,2014-05-30 19:45:00,2014-05-31 12:00:00,DSNY,Queens West 03,Sanitation Condition,22 Weeds,Sidewalk,11370.0,30-01 84 STREET,84 STREET,East Elmhurst,Closed,,2014-05-31 12:00:00,03 QUEENS,QUEENS,40.76135512,-73.8845160721,-73.88,40.76
1530036,28150754,2014-05-30 14:30:16,2014-07-30 06:20:57,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Kitchen/Food Prep Area,Restaurant/Bar/Deli/Bakery,11238.0,214 GREENE AVENUE,GREENE AVENUE,BROOKLYN,Closed,07/29/2014 02:30:16 PM,2014-07-30 06:20:57,02 BROOKLYN,BROOKLYN,40.6870542525,-73.9627850342,-73.96,40.69
1530037,28150783,2014-05-30 19:30:00,2014-06-05 12:00:00,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11204.0,,,BROOKLYN,Closed,,2014-06-05 12:00:00,11 BROOKLYN,BROOKLYN,40.608077334,-73.9796984219,-73.98,40.61
1530038,28150779,2014-05-30 11:13:00,2014-05-31 12:00:00,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11234.0,1268 EAST 69 STREET,EAST 69 STREET,BROOKLYN,Closed,,2014-05-31 12:00:00,18 BROOKLYN,BROOKLYN,40.6242748126,-73.9148545996,-73.91,40.62
1530039,28150781,2014-05-30 13:09:00,2014-05-30 13:09:00,DSNY,A - Brooklyn,Dirty Conditions,E11 Litter Surveillance,Sidewalk,11220.0,,,BROOKLYN,Closed,,2014-05-30 13:09:00,07 BROOKLYN,BROOKLYN,40.651040029099995,-74.01109611689999,-74.01,40.65
1530040,28150782,2014-05-30 19:30:00,2014-06-02 12:00:00,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11212.0,,,BROOKLYN,Closed,,2014-06-02 12:00:00,16 BROOKLYN,BROOKLYN,40.658301848600004,-73.9010287094,-73.9,40.66
1530041,28150786,2014-05-30 13:40:00,2014-06-03 12:00:00,DSNY,A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,Sidewalk,10461.0,,,BRONX,Closed,,2014-06-03 12:00:00,10 BRONX,BRONX,40.843857940999996,-73.8304300776,-73.83,40.84
1530042,28150787,2014-05-30 09:03:00,2014-05-31 12:00:00,DSNY,A - Brooklyn,Dirty Conditions,E11 Litter Surveillance,Sidewalk,11229.0,1214 AVENUE T,AVENUE T,BROOKLYN,Closed,,2014-05-31 12:00:00,15 BROOKLYN,BROOKLYN,40.600746249299995,-73.959840634,-73.96,40.6
1530043,28150788,2014-05-30 17:11:00,2014-06-03 12:00:00,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11230.0,412 AVENUE M,AVENUE M,BROOKLYN,Closed,,2014-06-03 12:00:00,12 BROOKLYN,BROOKLYN,40.6167737692,-73.97119155979999,-73.97,40.62
1530044,28150792,2014-05-30 09:44:00,2014-05-31 12:00:00,DSNY,A - Manhattan,Dirty Conditions,E5 Loose Rubbish,Sidewalk,10025.0,256 WEST 93 STREET,WEST 93 STREET,NEW YORK,Closed,,2014-05-31 12:00:00,07 MANHATTAN,MANHATTAN,40.7929854816,-73.9738311488,-73.97,40.79
1530045,28150798,2014-05-30 19:30:00,2014-06-02 12:00:00,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11435.0,,,Jamaica,Closed,,2014-06-02 12:00:00,12 QUEENS,QUEENS,40.692200354,-73.8097096403,-73.81,40.69
1530046,28150800,2014-05-30 15:01:00,2014-06-02 12:00:00,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11412.0,,,Saint Albans,Closed,,2014-06-02 12:00:00,12 QUEENS,QUEENS,40.698021693200005,-73.7622946905,-73.76,40.7
1530047,28150801,2014-05-30 11:13:00,2014-06-09 12:00:00,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11211.0,319 GRAHAM AVENUE,GRAHAM AVENUE,BROOKLYN,Closed,,2014-06-09 12:00:00,01 BROOKLYN,BROOKLYN,40.7136874754,-73.944258049,-73.94,40.71
1530048,28150802,2014-05-30 08:26:00,2014-06-04 12:00:00,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11203.0,,,BROOKLYN,Closed,,2014-06-04 12:00:00,17 BROOKLYN,BROOKLYN,40.6557557043,-73.9240155899,-73.92,40.66
1530049,28150803,2014-05-30 10:02:00,2014-05-31 12:00:00,DSNY,A - Manhattan,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10025.0,256 WEST 93 STREET,WEST 93 STREET,NEW YORK,Closed,,2014-05-31 12:00:00,07 MANHATTAN,MANHATTAN,40.7929854816,-73.9738311488,-73.97,40.79
1530050,28150804,2014-05-30 09:49:00,2014-05-31 12:00:00,DSNY,A - Bronx,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10462.0,1744 PAULDING AVENUE,PAULDING AVENUE,BRONX,Closed,,2014-05-31 12:00:00,11 BRONX,BRONX,40.847758628899996,-73.8549117747,-73.85,40.85
1530051,28150805,2014-05-30 12:00:00,2014-06-02 12:00:00,DSNY,A - Staten Island,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10314.0,3587 VICTORY BOULEVARD,VICTORY BOULEVARD,STATEN ISLAND,Closed,,2014-06-02 12:00:00,02 STATEN ISLAND,STATEN ISLAND,40.600770809699995,-74.17691097310001,-74.18,40.6
1530052,28150826,2014-05-30 22:27:00,2014-06-10 12:00:00,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11230.0,1520 AVENUE J,AVENUE J,BROOKLYN,Closed,,2014-06-10 12:00:00,14 BROOKLYN,BROOKLYN,40.6252383664,-73.96076612680001,-73.96,40.63
1530053,28150827,2014-05-30 18:36:00,2014-05-31 12:00:00,DSNY,A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11354.0,144-23 34 AVENUE,34 AVENUE,Flushing,Closed,,2014-05-31 12:00:00,07 QUEENS,QUEENS,40.766937627,-73.8236043121,-73.82,40.77
1530054,28150833,2014-05-30 08:27:00,2014-06-02 12:00:00,DSNY,A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11375.0,78-11 KEW FOREST LANE,KEW FOREST LANE,Forest Hills,Closed,,2014-06-02 12:00:00,06 QUEENS,QUEENS,40.7145188746,-73.8332228763,-73.83,40.71
1530055,28151015,2014-05-30 07:59:00,2014-05-30 12:00:00,DSNY,BCC - Brooklyn South,Sanitation Condition,12 Dead Animals,Sidewalk,11230.0,,,BROOKLYN,Closed,,2014-05-30 12:00:00,12 BROOKLYN,BROOKLYN,40.6119531131,-73.9681646142,-73.97,40.61
1530056,28151024,2014-05-30 09:06:00,2014-05-30 12:00:00,DSNY,BCC - Queens East,Sanitation Condition,12 Dead Animals,Sidewalk,11691.0,11-57 BAY 24 STREET,BAY 24 STREET,Far Rockaway,Closed,,2014-05-30 12:00:00,14 QUEENS,QUEENS,40.6052724405,-73.7623043999,-73.76,40.61
1530057,28151025,2014-05-30 11:44:00,2014-05-31 12:00:00,DSNY,BCC - Staten Island,Sanitation Condition,22 Weeds,Sidewalk,,,,,Closed,,2014-05-31 12:00:00,03 STATEN ISLAND,STATEN ISLAND,,,,
1530058,28151084,2014-05-30 14:58:00,2014-06-02 12:00:00,DSNY,A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11225.0,258 EMPIRE BOULEVARD,EMPIRE BOULEVARD,BROOKLYN,Closed,,2014-06-02 12:00:00,09 BROOKLYN,BROOKLYN,40.6637558776,-73.9532749625,-73.95,40.66
1530059,28151180,2014-05-30 10:19:54,2014-07-30 06:20:45,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contaminated,Other (Explain Below),11235.0,3045 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,BROOKLYN,Closed,07/29/2014 10:19:54 AM,2014-07-30 06:20:45,13 BROOKLYN,BROOKLYN,40.5815710944,-73.9598917647,-73.96,40.58
1530060,28151241,2014-05-30 22:48:21,2014-05-30 23:22:09,NYPD,New York City Police Department,Drinking,In Public,Residential Building/House,10027.0,529 WEST 133 STREET,WEST 133 STREET,NEW YORK,Closed,05/31/2014 06:48:21 AM,2014-05-30 23:22:09,09 MANHATTAN,MANHATTAN,40.8180826579,-73.954329946,-73.95,40.82
1530061,28151244,2014-05-30 09:53:00,2014-06-02 12:00:00,DSNY,P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11413.0,185-18 144 AVENUE,144 AVENUE,Springfield Gardens,Closed,,2014-06-02 12:00:00,12 QUEENS,QUEENS,40.667258799,-73.7586410208,-73.76,40.67
1530062,28151246,2014-05-30 18:55:00,2014-05-31 12:00:00,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11216.0,123 HALSEY STREET,HALSEY STREET,BROOKLYN,Closed,,2014-05-31 12:00:00,03 BROOKLYN,BROOKLYN,40.6819681741,-73.94850297149999,-73.95,40.68
1530063,28151250,2014-05-30 00:00:00,2014-06-30 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),11234.0,1869 EAST 36 STREET,EAST 36 STREET,BROOKLYN,Closed,06/29/2014 03:05:54 PM,2014-06-30 00:00:00,18 BROOKLYN,BROOKLYN,40.611924708000004,-73.9337540395,-73.93,40.61
1530064,28151292,2014-05-30 15:14:00,2014-05-31 12:00:00,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11204.0,2170 65 STREET,65 STREET,BROOKLYN,Closed,,2014-05-31 12:00:00,11 BROOKLYN,BROOKLYN,40.6141684244,-73.9820521564,-73.98,40.61
1530065,28151289,2014-05-30 10:46:00,2014-06-05 12:00:00,DSNY,P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10014.0,726 WASHINGTON STREET,WASHINGTON STREET,NEW YORK,Closed,,2014-06-05 12:00:00,02 MANHATTAN,MANHATTAN,40.7358453695,-74.0083570362,-74.01,40.74
1530066,28151290,2014-05-30 11:12:00,2014-05-31 12:00:00,DSNY,BCC - Queens West,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11421.0,76-23 JAMAICA AVENUE,JAMAICA AVENUE,Woodhaven,Closed,,2014-05-31 12:00:00,09 QUEENS,QUEENS,40.6916174211,-73.8653555651,-73.87,40.69
1530067,28151291,2014-05-30 09:54:00,2014-05-31 12:00:00,DSNY,Queens East 12,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11413.0,185-18 144 AVENUE,144 AVENUE,Springfield Gardens,Closed,,2014-05-31 12:00:00,12 QUEENS,QUEENS,40.667258799,-73.7586410208,-73.76,40.67
1530068,28151295,2014-05-30 10:14:00,2014-06-02 12:00:00,DSNY,BCC - Queens East,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11357.0,,,Whitestone,Closed,,2014-06-02 12:00:00,07 QUEENS,QUEENS,40.7846812436,-73.8091058951,-73.81,40.78
1530069,28151296,2014-05-30 09:21:00,2014-06-02 12:00:00,DSNY,BCC - Queens East,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11357.0,163-62 21 ROAD,21 ROAD,Whitestone,Closed,,2014-06-02 12:00:00,07 QUEENS,QUEENS,40.778073144299995,-73.8001233903,-73.8,40.78
1530070,28151326,2014-05-30 11:06:00,2014-05-31 12:00:00,DSNY,Queens East 12,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11435.0,106-38 150 STREET,150 STREET,Jamaica,Closed,,2014-05-31 12:00:00,12 QUEENS,QUEENS,40.6950788467,-73.8011331061,-73.8,40.7
1530071,28151335,2014-05-30 11:59:00,2014-05-31 12:00:00,DSNY,BCC - Bronx,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10460.0,2011 VYSE AVENUE,VYSE AVENUE,BRONX,Closed,,2014-05-31 12:00:00,06 BRONX,BRONX,40.842321955799996,-73.8818998096,-73.88,40.84
1530072,28151370,2014-05-30 13:10:23,2014-06-05 14:44:42,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Other (Explain Below),3+ Family Apartment Building,11691.0,1314 CENTRAL AVENUE,CENTRAL AVENUE,FAR ROCKAWAY,Closed,07/14/2014 01:10:23 PM,2014-06-05 14:44:43,14 QUEENS,QUEENS,40.60731735,-73.74939669220001,-73.75,40.61
1530073,28151380,2014-05-30 00:00:00,2014-06-05 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10470.0,718 PENFIELD STREET,PENFIELD STREET,BRONX,Closed,06/29/2014 01:05:08 PM,2014-06-05 00:00:00,12 BRONX,BRONX,40.9048874795,-73.8490893783,-73.85,40.9
1530074,28151403,2014-05-30 08:00:05,2014-07-30 06:20:48,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Letter Grading,Restaurant/Bar/Deli/Bakery,11355.0,57-01 MAIN STREET,MAIN STREET,FLUSHING,Closed,07/29/2014 08:00:05 AM,2014-07-30 06:20:48,07 QUEENS,QUEENS,40.7464794128,-73.82617032739999,-73.83,40.75
1530075,28151413,2014-05-30 00:00:00,2014-04-04 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,10002.0,193 HENRY STREET,HENRY STREET,NEW YORK,Pending,06/29/2014 05:56:43 AM,2014-05-30 06:00:05,Unspecified MANHATTAN,MANHATTAN,40.7137716971,-73.9878870319,-73.99,40.71
1530076,28151449,2014-05-30 00:00:00,2014-06-05 16:03:53,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11420.0,109-18 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,South Ozone Park,Closed,06/29/2014 05:54:35 PM,2014-06-05 16:03:53,10 QUEENS,QUEENS,40.6819574306,-73.8220840468,-73.82,40.68
1530077,28151479,2014-05-30 00:00:00,2014-05-06 00:00:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Mixed Use Building,10468.0,2559 GRAND CONCOURSE,GRAND CONCOURSE,BRONX,Pending,06/29/2014 01:31:43 PM,2014-05-30 13:41:12,07 BRONX,BRONX,40.863686778099996,-73.8962111194,-73.9,40.86
